Transaction_id,Or_id,Or_pay_method,Or_pay_status,Or_status,Ca_id,Ca_name,Ca_contact_no,Ca_email,Ca_address,Ca_city,Ca_state,Ca_country,R_id,R_contact,R_email,Pr_id,Pr_category_id,Pr_category_name,Pr_name,Pr_price,Offer_code,Offer_price,Discount_code,Discount_price,Or_total_price
#45678,1001,Online,Complete,Delivered,1,Jainik,7600884473,q@gmail.com,"Upper Street, Stratford St Mary, COLCHESTER, Essex",Surat,Gujarat,India,A,8630947540,shiv@gmail.com,A01,1,Electronic,Camera,50000,FLAT50,50,DIWALI10,5000,45000
#45679,1002,Cash,Pending,Shipped,2,Faizal,6127994116,w@gmail.com,"Egremont Street, Glemsford, SUDBURY, Suffolk",Rajkot,Gujarat,India,B,7653908726,ravi@gmail.com,B01,4,Fashion,Men's wear,7000,FLAT10,10,,,7000
#45680,1003,Online,Complete,Cancel,3,Sunny,8259599783,e@gmail.com,"7 Market Hill, SUDBURY, Suffolk",Ahmedabad,Gujarat,India,C,8902536748,jay@gmail.com,C01,6,Appliance,Air conditioner,20000,FLAT30,30,MARKSNTI14,1600,18400
#45681,1004,Online,Complete,Delivered,4,Shivang,8630947540,r@gmail.com,"Lower Street, Stratford St Mary, COLCHESTER, Essex",Vadodara,Gujarat,India,D,7722446688,raj@gmail.com,D01,8,Mobile,Samsung,25000,,0,FREEDOM37,500,24500
#45682,1005,Online,Complete,Delivered,5,Vinay,7654890321,t@gmail.com,"Lion Road, Glemsford, SUDBURY, Suffolk",Kutch,Gujarat,India,E,7227455460,deep@gmail.com,A02,2,Electronic,SmartWatch,3000,FLAT50,50,SPEACIAL099,240,2760
#45683,1006,Cash,Pending,Shipped,6,Shreya,8734095647,y@gmail.com,"Bristol Hill, Shotley, IPSWICH, Suffolk",Mumbai,Maharashtra,India,F,9823674590,shan@gmail.com,A01,1,Electronic,Camera,55999,FLAT50,50,,,55999
#45684,1007,Online,Complete,Delivered,7,Prachee,9835670907,u@gmail.com,"Pin Mill Road, Chelmondiston, IPSWICH, Suffolk",Pune,Maharashtra,India,G,9100254673,meet@gmail.com,B01,4,Fashion,Men's wear,2999,FLAT50,50,DIWALI10,239.92,2759.08
#45685,1008,Online,Complete,Cancel,8,Dishali,7609080605,i@gmail.com,"Heath Road, East Bergholt, COLCHESTER, Essex",Udaipur,Rajasthan,India,H,8256378690,honey@gmail.com,B02,5,Fashion,Women's wear,2000,FLAT50,50,FREEDOM37,120,1880
#45686,1009,Online,Complete,Delivered,9,Vivek,8410204050,o@gmail.com,"The Bull Inn, The Street, Brantham, MANNINGTREE",Jaipur,Rajasthan,India,I,7254637910,love@gmail.com,A03,3,Electronic,Speakers,1200,FLAT50,50,,,1200
#45687,1010,Cash,Pending,Delivered,10,Ravi,6898765665,p@gmail.com,"The Grange Caravan Park, Straight Road, East Bergholt, COLCHESTER",Surendranagar,Gujarat,India,J,9264380962,sid@gmail.com,C02,7,Appliance,Washing machine,30000,,0,WOMAN23,1500,28500
#45688,1011,Online,Complete,Delivered,11,Raj,1543011120,a@gmail.com,"Hall Street, Long Melford, SUDBURY, Suffolk",Rajkot,Gujarat,India,A,8630947540,shiv@gmail.com,A02,2,Electronic,SmartWatch,4999,FLAT50,50,,,4999
#45689,1012,Online,Complete,Shipped,12,surabh,1543041720,s@gmail.com,"Cattawade Street, Brantham, MANNINGTREE, Essex",Surat,Gujarat,India,B,7653908726,ravi@gmail.com,D01,8,Mobile,Samsung,20000,FLAT50,50,,,20000
#45690,1013,Online,Complete,Delivered,13,danish,1543020300,d@gmail.com,"Eight Bells Public House, 90-92 Angel Street, Hadleigh, IPSWICH",Rajkot,Gujarat,India,C,8902536748,jay@gmail.com,D02,9,Mobile,Apple,80000,FLAT50,50,MARKSNTI14,4000,76000
#45691,1014,Online,Complete,Delivered,14,darshil,1542695940,f@gmail.com,"The Swan Inn, The Street, Monks Eleigh, IPSWICH",Surat,Gujarat,India,D,7722446688,raj@gmail.com,B01,4,Fashion,Men's wear,2300,FLAT10,10,,,2300
#45692,1015,Cash,Pending,Cancel,15,Hiral,1542695940,g@gmail.com,"63 Bures Road, Great Cornard, SUDBURY, Suffolk",Rajkot,Gujarat,India,A,8630947540,shiv@gmail.com,C02,7,Appliance,Washing machine,65222,,0,,,65222
#45693,1016,Online,Complete,Delivered,16,Shivangi,1542786210,h@gmail.com,"Church Street, Groton, SUDBURY, Suffolk",Vadodara,Gujarat,India,B,7653908726,ravi@gmail.com,D01,8,Mobile,Samsung,30000,FLAT50,50,WOMAN23,900,29100
#45694,1017,Online,Complete,Delivered,17,Parth,1543133520,j@gmail.com,"Manningtree Road, Stutton, IPSWICH, Suffolk",Rajkot,Gujarat,India,E,7227455460,deep@gmail.com,A01,1,Electronic,Camera,75000,FLAT50,50,,,75000
#45695,1018,Online,Complete,Delivered,18,Shreya,1542783150,k@gmail.com,"25-27 Hunts Hill, Glemsford, SUDBURY, Suffolk",Surat,Gujarat,India,I,7254637910,love@gmail.com,D03,10,Mobile,Nokia,15000,FLAT50,50,DSKFJFEIJ90,450,14550
#45696,1019,Online,Complete,Shipped,19,Vinay,1543177890,l@gmail.com,"The Grover and Allen, 67-70 North Street, SUDBURY, Suffolk",Rajkot,Gujarat,India,A,8630947540,shiv@gmail.com,B01,4,Fashion,Men's wear,200,,0,,,200
#45697,1020,Online,Complete,Delivered,20,Dhruv,1543026420,z@gmail.com,"Harrow Street, Leavenheath, COLCHESTER, Essex",Rajkot,Gujarat,India,B,7653908726,ravi@gmail.com,D03,10,Mobile,Nokia,12000,FLAT50,50,,,12000
#45698,1021,Online,Complete,Delivered,21,Ronak,1542865770,x@gmail.com,"Heath Road, East Bergholt, COLCHESTER, Essex",Rajkot,Gujarat,India,D,7722446688,raj@gmail.com,B02,5,Fashion,Women's wear,5030,FLAT50,50,,,5030
#45699,1022,Cash,Pending,Delivered,22,Sunny,1542552120,c@gmail.com,"132 High Street, Bildeston, IPSWICH, Suffolk",Vadodara,Gujarat,India,I,7254637910,love@gmail.com,C02,7,Appliance,Washing machine,55999,,0,DIWALI10,2799.95,53199.05
#45700,1023,Online,Complete,Delivered,23,Mahavir,1543167180,v@gmail.com,"115 Bures Road, Great Cornard, SUDBURY, Suffolk",Rajkot,Gujarat,India,A,8630947540,shiv@gmail.com,D01,8,Mobile,Samsung,45000,,0,,,45000
#45701,1024,Online,Complete,Delivered,24,Dharmik,1542928500,b@gmail.com,"Ex-Service & Social Club, Hall Street, Long Melford, SUDBURY",Rajkot,Gujarat,India,B,7653908726,ravi@gmail.com,B01,4,Fashion,Men's wear,1423,FLAT50,50,,,1423
#45702,1025,Online,Complete,Delivered,25,Honey,1542790800,n@gmail.com,"Cats Lane, Great Cornard, SUDBURY, Suffolk",Surat,Gujarat,India,C,8902536748,jay@gmail.com,D02,9,Mobile,Apple,65000,FLAT50,50,MARKSNTI14,3250,61750
#45703,1026,Online,Complete,Cancel,26,Vijay,1542878010,m@gmail.com,"North Street, SUDBURY, Suffolk",Ahmedabad,Gujarat,India,I,7254637910,love@gmail.com,A01,1,Electronic,Camera,45000,FLAT50,50,,,45000
#45704,1027,Cash,Pending,Delivered,27,Butul,1543026420,qq@gmail.com,"Flat 1, Croft Road, SUDBURY, Suffolk",Surendranagar,Gujarat,India,A,8630947540,shiv@gmail.com,C02,7,Appliance,Washing machine,65000,FLAT50,50,DIWALI10,3250,61750
#45705,1028,Online,Complete,Delivered,28,Dhaval,1542691350,ww@gmail.com,"Bourne Hill, Wherstead, IPSWICH, Suffolk",Vadodara,Gujarat,India,B,7653908726,ravi@gmail.com,D03,10,Mobile,Nokia,30000,,0,,,30000
#45706,1029,Online,Complete,Delivered,29,Parshv,1543005000,ee@gmail.com,"Great Green, Cockfield, BURY ST EDMUNDS, Suffolk",Rajkot,Gujarat,India,I,7254637910,love@gmail.com,A02,2,Electronic,SmartWatch,3600,FLAT50,50,,,3600
#45707,1030,Online,Complete,Delivered,30,Roni,1543006530,rr@gmail.com,"New Street, SUDBURY, Suffolk",Ahmedabad,Gujarat,India,A,8630947540,shiv@gmail.com,D01,8,Mobile,Samsung,30000,FLAT50,50,,,30000
#45708,1031,Cash,Pending,Delivered,31,Akshay,1543174830,tt@gmail.com,"The Row, Wenham Magna, COLCHESTER, Essex",Surat,Gujarat,India,B,7653908726,ravi@gmail.com,B01,4,Fashion,Men's wear,2350,FLAT30,30,DIWALI10,117.5,2232.5
#45709,1032,Online,Complete,Delivered,32,Rutik,1543171770,yy@gmail.com,"The Street, Layham, IPSWICH, Suffolk",Vadodara,Gujarat,India,E,7227455460,deep@gmail.com,A02,2,Electronic,SmartWatch,13000,FLAT50,50,,,13000
#45710,1033,Online,Complete,Delivered,33,Hardik,1542842820,uu@gmail.com,"Main Road, Chelmondiston, IPSWICH, Suffolk",Rajkot,Gujarat,India,D,7722446688,raj@gmail.com,A01,1,Electronic,Camera,80000,FLAT50,50,FREEDOM37,8000,72000
#45711,1034,Online,Complete,Delivered,34,Maharsign,1542844350,ii@gmail.com,"The Street, Elmsett, IPSWICH, Suffolk",Surendranagar,Gujarat,India,B,7653908726,ravi@gmail.com,C01,6,Appliance,Air conditioner,45000,,0,,,45000
#45712,1035,Online,Complete,Delivered,35,Meghraj,1543015710,oo@gmail.com,"Cat House Lane, Woolverstone, IPSWICH, Suffolk",Surat,Gujarat,India,D,7722446688,raj@gmail.com,A03,3,Electronic,Speakers,63000,FLAT50,50,,,63000
#45713,1036,Online,Complete,Delivered,36,Vivek,1543021830,pp@gmail.com,"East End Lane, East Bergholt, COLCHESTER, Essex",Surendranagar,Gujarat,India,I,7254637910,love@gmail.com,D02,9,Mobile,Apple,32000,FLAT50,50,CHILD2344,1600,30400
#45714,1037,Online,Complete,Delivered,37,Dhrsym,1543008060,aa@gmail.com,"Shotley Marina, Shotley, IPSWICH, Suffolk",Surat,Gujarat,India,A,8630947540,shiv@gmail.com,D01,8,Mobile,Samsung,38000,FLAT50,50,,,38000
